file_path,asset_type,experiment,is_real_model_result,claim_supported,publicly_safe,recommended_ppt_page,availability_note
docs/architecture.md,Mermaid system architecture source,implemented system architecture,N/A,"Text to validated plan to YOLO-World/RGB-D to candidate filtering to Panda execution; oracle is separated",yes,2,"Present locally; render or screenshot Mermaid for a PPT graphic"
outputs/20260816_140448_414159_run_seed10/detections.png,YOLO detection overlay,DeepSeek+YOLO-World+official GraspNet bottle seed 10,true,"Real YOLO-World localizes the requested bottle in the simulated RGB image",yes,4,"Present locally and tracked; 640x480"
outputs/20260816_140448_414159_run_seed10/filtered_candidates_2d.png,2D candidate association visualization,DeepSeek+YOLO-World+official GraspNet bottle seed 10,true,"Candidate centers are associated with semantic image/depth evidence",yes,5,"Present locally; dense labels make it best as technical detail or appendix"
outputs/20260816_140448_414159_run_seed10/filtered_candidates_3d.png,3D candidate visualization,DeepSeek+YOLO-World+official GraspNet bottle seed 10,true,"Scene-level neural candidates are filtered to a small retained set",yes,5,"Present locally; dense labels make it best as technical detail or appendix"
outputs/20260816_140448_414159_run_seed10/demo.gif,animated grasp demonstration,DeepSeek+YOLO-World+official GraspNet bottle seed 10,true,"A successful simulated Panda grasp executes through lift",yes,1,"Present locally and tracked; 640x480"
outputs/20260816_140448_414159_run_seed10/demo.mp4,grasp demonstration video,DeepSeek+YOLO-World+official GraspNet bottle seed 10,true,"A successful simulated Panda grasp executes through lift",yes,8,"Present locally and tracked; use for live PPT demo"
outputs/20260816_140448_414159_run_seed10/agent_response.json,raw structured LLM response,DeepSeek+YOLO-World+official GraspNet bottle seed 10,true,"DeepSeek returned a JSON object selecting bottle and the canonical stages",yes,6,"Present locally; show a cropped JSON excerpt, not as arbitrary code"
outputs/20260816_140448_414159_run_seed10/agent_plan.json,locally schema-validated structured plan,DeepSeek+YOLO-World+official GraspNet bottle seed 10,true,"The scene-whitelisted pick target and six canonical stages passed local validation before dispatch",yes,6,"Present locally; best JSON artifact for the LLM-plan slide"
outputs/20260816_140448_414159_run_seed10/agent_generated_plan.py,locally compiled safe Python DSL,DeepSeek+YOLO-World+official GraspNet bottle seed 10,true,"The validated plan is compiled to six allowlisted controller calls",yes,6,"Present locally; label it locally compiled and AST-validated"
outputs/20260816_140448_414159_run_seed10/agent_generated_plan_trace.json,synchronized execution trace,DeepSeek+YOLO-World+official GraspNet bottle seed 10,true,"All six SafeRobotController-gated pipeline stages completed",yes,6,"Present locally; convert timestamps to a timeline graphic"
outputs/20260816_140448_414159_run_seed10/agent_result.json,structured successful episode result,DeepSeek+YOLO-World+official GraspNet bottle seed 10,true,"Seed-10 bottle run used real YOLO-World and official GraspNet, lifted 0.115870 m, and did not use truth for semantic selection",yes,6,"Present locally; source for numeric callouts"
outputs/20260815_001417_040250_evaluation/episodes.csv,40-row experiment table,open-vocab-graspnet 4 classes x 10 seeds,true,"38/40 detection; 37/40 target selection; 35/40 IK; 26/40 end-to-end",yes,7,"Present locally and tracked; best source for a manually designed result chart"
outputs/20260815_001417_040250_evaluation/summary.json,aggregate experiment summary,open-vocab-graspnet 4 classes x 10 seeds,true,"Mean official GraspNet inference 5.844949 s and mean total episode time 11.519495 s",yes,7,"Present locally and tracked; cross-check CSV before quoting"
outputs/20260815_001417_040250_evaluation/summary.md,readable experiment table,open-vocab-graspnet 4 classes x 10 seeds,true,"Per-class success: bottle 9/10; mug 6/10; box 6/10; bowl 5/10",yes,7,"Present locally and tracked; can be adapted into a bar chart"
outputs/20260816_140225_904008_agent_evaluation/cases.csv,40-row Agent full-chain table,real DeepSeek 4 classes x 10 seeds,true,"40 real DeepSeek responses; 40 valid plans/targets/DSLs; 26/40 robot successes",yes,6,"Present locally and tracked; use beside downstream benchmark only with denominator explanation"
outputs/20260816_140225_904008_agent_evaluation/summary.json,Agent aggregate summary,real DeepSeek 40-case full chain,true,"Mean planning latency 0.861097 s and 12,267 reported tokens",yes,6,"Present locally and tracked; exact provider/model fields retained"
outputs/20260816_140225_904008_agent_evaluation/summary.md,readable Agent summary,real DeepSeek 40-case full chain,true,"The Agent planning layer was 40/40 valid while end-to-end physical success was 26/40",yes,6,"Present locally and tracked"
