case_id,language,instruction,expected_target,predicted_target,provider,model,plan_valid,target_correct,python_valid,planning_latency_s,total_tokens,robot_requested,robot_executed,robot_success,robot_failure_reason,seed,source_output,error_type,error_message
mug_full_00,zh,请帮我抓取桌面上的杯子,mug,mug,deepseek,deepseek-v4-flash,True,True,True,1.053806304000318,307,True,True,True,,0,/home/ubuntu/open-vocab-grasping/outputs/20260816_140226_959445_run_seed0,,
mug_full_01,zh,麻烦把桌上的马克杯拿起来,mug,mug,deepseek,deepseek-v4-flash,True,True,True,0.8310881420002261,310,True,True,True,,1,/home/ubuntu/open-vocab-grasping/outputs/20260816_140244_561918_run_seed1,,
mug_full_02,zh,把那个杯子抓起来,mug,mug,deepseek,deepseek-v4-flash,True,True,True,0.8138755970003331,305,True,True,False,object_not_lifted,2,/home/ubuntu/open-vocab-grasping/outputs/20260816_140258_284702_run_seed2,,
mug_full_03,en,Pick up the mug from the table.,mug,mug,deepseek,deepseek-v4-flash,True,True,True,0.7334628079997856,308,True,True,True,,3,/home/ubuntu/open-vocab-grasping/outputs/20260816_140311_878863_run_seed3,,
mug_full_04,en,Please grasp the mug.,mug,mug,deepseek,deepseek-v4-flash,True,True,True,0.7363702590000685,305,True,True,True,,4,/home/ubuntu/open-vocab-grasping/outputs/20260816_140325_521826_run_seed4,,
mug_full_05,zh,请帮我抓取桌面上的杯子,mug,mug,deepseek,deepseek-v4-flash,True,True,True,0.863128369000151,310,True,True,False,object_not_lifted,5,/home/ubuntu/open-vocab-grasping/outputs/20260816_140339_258581_run_seed5,,
mug_full_06,zh,麻烦把桌上的马克杯拿起来,mug,mug,deepseek,deepseek-v4-flash,True,True,True,0.9527182440006072,310,True,True,True,,6,/home/ubuntu/open-vocab-grasping/outputs/20260816_140353_322025_run_seed6,,
mug_full_07,zh,把那个杯子抓起来,mug,mug,deepseek,deepseek-v4-flash,True,True,True,0.7795596630003274,305,True,True,True,,7,/home/ubuntu/open-vocab-grasping/outputs/20260816_140406_995730_run_seed7,,
mug_full_08,en,Pick up the mug from the table.,mug,mug,deepseek,deepseek-v4-flash,True,True,True,0.6970764609995967,308,True,True,False,object_not_lifted,8,/home/ubuntu/open-vocab-grasping/outputs/20260816_140420_665414_run_seed8,,
mug_full_09,en,Please grasp the mug.,mug,mug,deepseek,deepseek-v4-flash,True,True,True,0.955381875999592,305,True,True,False,object_not_lifted,9,/home/ubuntu/open-vocab-grasping/outputs/20260816_140434_540642_run_seed9,,
bottle_full_00,zh,请帮我抓取桌面上的瓶子,bottle,bottle,deepseek,deepseek-v4-flash,True,True,True,0.9007325160000619,310,True,True,True,,10,/home/ubuntu/open-vocab-grasping/outputs/20260816_140448_414159_run_seed10,,
bottle_full_01,zh,把桌面上的瓶子拿起来,bottle,bottle,deepseek,deepseek-v4-flash,True,True,True,0.9714471920005963,310,True,True,True,,11,/home/ubuntu/open-vocab-grasping/outputs/20260816_140502_494803_run_seed11,,
bottle_full_02,zh,抓一下那个瓶子,bottle,bottle,deepseek,deepseek-v4-flash,True,True,True,0.9228459610003483,304,True,True,True,,12,/home/ubuntu/open-vocab-grasping/outputs/20260816_140516_423136_run_seed12,,
bottle_full_03,en,Pick the bottle.,bottle,bottle,deepseek,deepseek-v4-flash,True,True,True,0.8218092700008128,304,True,True,True,,13,/home/ubuntu/open-vocab-grasping/outputs/20260816_140530_143848_run_seed13,,
bottle_full_04,en,Please pick up the bottle on the table.,bottle,bottle,deepseek,deepseek-v4-flash,True,True,True,0.9146978620001391,309,True,True,False,no_accepted_candidate,14,/home/ubuntu/open-vocab-grasping/outputs/20260816_140543_965945_run_seed14,,
bottle_full_05,zh,请帮我抓取桌面上的瓶子,bottle,bottle,deepseek,deepseek-v4-flash,True,True,True,0.8836983820001478,310,True,True,True,,15,/home/ubuntu/open-vocab-grasping/outputs/20260816_140555_179587_run_seed15,,
bottle_full_06,zh,把桌面上的瓶子拿起来,bottle,bottle,deepseek,deepseek-v4-flash,True,True,True,0.8452970240005016,310,True,True,True,,16,/home/ubuntu/open-vocab-grasping/outputs/20260816_140609_055200_run_seed16,,
bottle_full_07,zh,抓一下那个瓶子,bottle,bottle,deepseek,deepseek-v4-flash,True,True,True,0.8362459840000156,304,True,True,True,,17,/home/ubuntu/open-vocab-grasping/outputs/20260816_140622_901937_run_seed17,,
bottle_full_08,en,Pick the bottle.,bottle,bottle,deepseek,deepseek-v4-flash,True,True,True,0.9573589040001025,304,True,True,True,,18,/home/ubuntu/open-vocab-grasping/outputs/20260816_140636_885392_run_seed18,,
bottle_full_09,en,Please pick up the bottle on the table.,bottle,bottle,deepseek,deepseek-v4-flash,True,True,True,0.8437770720001936,309,True,True,True,,19,/home/ubuntu/open-vocab-grasping/outputs/20260816_140650_835193_run_seed19,,
bowl_full_00,zh,请帮我抓取桌面上的碗,bowl,bowl,deepseek,deepseek-v4-flash,True,True,True,0.8642911979995915,310,True,True,True,,20,/home/ubuntu/open-vocab-grasping/outputs/20260816_140704_761489_run_seed20,,
bowl_full_01,zh,把碗拿起来,bowl,bowl,deepseek,deepseek-v4-flash,True,True,True,0.7321289760002401,305,True,True,False,object_not_lifted,21,/home/ubuntu/open-vocab-grasping/outputs/20260816_140717_767170_run_seed21,,
bowl_full_02,zh,抓取那个碗,bowl,bowl,deepseek,deepseek-v4-flash,True,True,True,0.8872690910002348,304,True,True,True,,22,/home/ubuntu/open-vocab-grasping/outputs/20260816_140731_078626_run_seed22,,
bowl_full_03,en,Pick up the bowl.,bowl,bowl,deepseek,deepseek-v4-flash,True,True,True,0.920022348999737,305,True,True,False,object_not_lifted,23,/home/ubuntu/open-vocab-grasping/outputs/20260816_140744_187300_run_seed23,,
bowl_full_04,en,Please grasp the bowl on the table.,bowl,bowl,deepseek,deepseek-v4-flash,True,True,True,0.8316954799993255,308,True,True,True,,24,/home/ubuntu/open-vocab-grasping/outputs/20260816_140757_337186_run_seed24,,
bowl_full_05,zh,请帮我抓取桌面上的碗,bowl,bowl,deepseek,deepseek-v4-flash,True,True,True,0.8238674619997255,310,True,True,True,,25,/home/ubuntu/open-vocab-grasping/outputs/20260816_140810_504006_run_seed25,,
bowl_full_06,zh,把碗拿起来,bowl,bowl,deepseek,deepseek-v4-flash,True,True,True,0.8935010420000253,305,True,True,True,,26,/home/ubuntu/open-vocab-grasping/outputs/20260816_140823_507428_run_seed26,,
bowl_full_07,zh,抓取那个碗,bowl,bowl,deepseek,deepseek-v4-flash,True,True,True,0.9255042429995228,304,True,True,False,object_not_lifted,27,/home/ubuntu/open-vocab-grasping/outputs/20260816_140837_025012_run_seed27,,
bowl_full_08,en,Pick up the bowl.,bowl,bowl,deepseek,deepseek-v4-flash,True,True,True,0.7385925219996352,305,True,True,False,no_accepted_candidate,28,/home/ubuntu/open-vocab-grasping/outputs/20260816_140849_933538_run_seed28,,
bowl_full_09,en,Please grasp the bowl on the table.,bowl,bowl,deepseek,deepseek-v4-flash,True,True,True,0.9081266200000755,308,True,True,False,object_not_lifted,29,/home/ubuntu/open-vocab-grasping/outputs/20260816_140859_963842_run_seed29,,
box_full_00,zh,请帮我抓取桌面上的盒子,box,box,deepseek,deepseek-v4-flash,True,True,True,1.0205261940000128,309,True,True,True,,30,/home/ubuntu/open-vocab-grasping/outputs/20260816_140913_172848_run_seed30,,
box_full_01,zh,把方块拿起来,box,box,deepseek,deepseek-v4-flash,True,True,True,0.9691335609995804,304,True,True,True,,31,/home/ubuntu/open-vocab-grasping/outputs/20260816_140927_600540_run_seed31,,
box_full_02,zh,抓取那个纸盒,box,box,deepseek,deepseek-v4-flash,True,True,True,0.8237799810003708,304,True,True,True,,32,/home/ubuntu/open-vocab-grasping/outputs/20260816_140941_742638_run_seed32,,
box_full_03,en,Pick up the box.,box,box,deepseek,deepseek-v4-flash,True,True,True,0.7671246180007074,304,True,True,False,no_accepted_candidate,33,/home/ubuntu/open-vocab-grasping/outputs/20260816_140955_978212_run_seed33,,
